Year,Month,Day,Time,Min,Sec,Radiation(Ldown-Lup)(Wm^2)
2021.0,12.0,17.0,22.0,0.0,0.0,-7.8677
2021.0,12.0,17.0,22.0,10.0,0.0,-7.7935
2021.0,12.0,17.0,22.0,20.0,0.0,-7.9459
2021.0,12.0,17.0,22.0,50.0,0.0,-7.954
2021.0,12.0,17.0,23.0,0.0,0.0,-8.0025
2021.0,12.0,17.0,23.0,10.0,0.0,-7.9889
2021.0,12.0,17.0,23.0,20.0,0.0,-8.1721
2021.0,12.0,17.0,23.0,30.0,0.0,-8.0425
2021.0,12.0,17.0,23.0,40.0,0.0,-8.0379
2021.0,12.0,17.0,23.0,50.0,0.0,-8.408
2021.0,12.0,18.0,0.0,0.0,0.0,-8.5852
2021.0,12.0,18.0,0.0,30.0,0.0,-9.2882
2021.0,12.0,18.0,0.0,40.0,0.0,-9.091
2021.0,12.0,18.0,0.0,50.0,0.0,-9.2796
2021.0,12.0,18.0,1.0,0.0,0.0,-9.5292
2021.0,12.0,18.0,1.0,10.0,0.0,-9.2744
2021.0,12.0,18.0,1.0,20.0,0.0,-9.437
2021.0,12.0,18.0,1.0,30.0,0.0,-9.5373
2021.0,12.0,18.0,1.0,40.0,0.0,-9.5629
2021.0,12.0,18.0,2.0,10.0,0.0,-11.6264
2021.0,12.0,18.0,2.0,20.0,0.0,-10.0907
2021.0,12.0,18.0,2.0,30.0,0.0,-9.4497
2021.0,12.0,18.0,2.0,40.0,0.0,-8.5534
2021.0,12.0,18.0,2.0,50.0,0.0,-8.3501
2021.0,12.0,18.0,3.0,0.0,0.0,-8.0042
2021.0,12.0,18.0,3.0,10.0,0.0,-8.0249
2021.0,12.0,18.0,3.0,20.0,0.0,-8.1156
2021.0,12.0,18.0,19.0,40.0,0.0,-7.4474
2021.0,12.0,18.0,19.0,50.0,0.0,-9.5285
2021.0,12.0,18.0,20.0,0.0,0.0,-9.9569
2021.0,12.0,18.0,20.0,10.0,0.0,-27.5835
2021.0,12.0,18.0,20.0,20.0,0.0,-22.7813
2021.0,12.0,18.0,20.0,30.0,0.0,-29.0144
2021.0,12.0,18.0,20.0,40.0,0.0,-28.7166
2021.0,12.0,18.0,20.0,50.0,0.0,-29.5178
2021.0,12.0,18.0,21.0,20.0,0.0,-18.3083
2021.0,12.0,18.0,21.0,30.0,0.0,-18.9745
2021.0,12.0,18.0,21.0,40.0,0.0,-15.3937
2021.0,12.0,18.0,21.0,50.0,0.0,-8.2596
2021.0,12.0,18.0,22.0,0.0,0.0,-22.7536
2021.0,12.0,18.0,22.0,10.0,0.0,-17.4882
2021.0,12.0,18.0,22.0,20.0,0.0,-8.8185
2021.0,12.0,18.0,22.0,30.0,0.0,-17.8214
2021.0,12.0,18.0,23.0,0.0,0.0,-7.2936
2021.0,12.0,18.0,23.0,10.0,0.0,-7.3763
2021.0,12.0,18.0,23.0,20.0,0.0,-7.9619
2021.0,12.0,18.0,23.0,30.0,0.0,-9.1624
2021.0,12.0,18.0,23.0,40.0,0.0,-8.1121
2021.0,12.0,18.0,23.0,50.0,0.0,-7.9634
2021.0,12.0,19.0,0.0,0.0,0.0,-8.0396
2021.0,12.0,19.0,0.0,10.0,0.0,-8.0906
2021.0,12.0,19.0,0.0,40.0,0.0,-8.9721
2021.0,12.0,19.0,0.0,50.0,0.0,-8.6642
2021.0,12.0,19.0,1.0,0.0,0.0,-8.2458
2021.0,12.0,19.0,1.0,10.0,0.0,-8.5659
2021.0,12.0,19.0,1.0,20.0,0.0,-7.855
2021.0,12.0,19.0,1.0,30.0,0.0,-9.8746
2021.0,12.0,19.0,1.0,40.0,0.0,-7.5881
2021.0,12.0,19.0,1.0,50.0,0.0,-7.2639
2021.0,12.0,19.0,2.0,20.0,0.0,-12.8694
2021.0,12.0,19.0,2.0,30.0,0.0,-15.3264
2021.0,12.0,19.0,2.0,40.0,0.0,-10.4755
2021.0,12.0,19.0,2.0,50.0,0.0,-14.6815
2021.0,12.0,19.0,3.0,0.0,0.0,-12.7048
2021.0,12.0,19.0,3.0,10.0,0.0,-16.7913
2021.0,12.0,19.0,3.0,20.0,0.0,-14.1952
2021.0,12.0,19.0,3.0,30.0,0.0,-11.7938
2021.0,12.0,19.0,19.0,50.0,0.0,-17.2866
2021.0,12.0,19.0,20.0,0.0,0.0,-15.6254
2021.0,12.0,19.0,20.0,10.0,0.0,-17.7134
2021.0,12.0,19.0,20.0,20.0,0.0,-21.9501
2021.0,12.0,19.0,20.0,30.0,0.0,-20.0494
2021.0,12.0,19.0,20.0,40.0,0.0,-27.3412
2021.0,12.0,19.0,20.0,50.0,0.0,-29.5839
2021.0,12.0,19.0,21.0,0.0,0.0,-29.1603
2021.0,12.0,19.0,21.0,30.0,0.0,-28.8353
2021.0,12.0,19.0,21.0,40.0,0.0,-28.8109
2021.0,12.0,19.0,21.0,50.0,0.0,-29.4774
2021.0,12.0,19.0,22.0,0.0,0.0,-30.0111
2021.0,12.0,19.0,22.0,10.0,0.0,-29.6576
2021.0,12.0,19.0,22.0,20.0,0.0,-29.0888
2021.0,12.0,19.0,22.0,30.0,0.0,-28.5062
2021.0,12.0,19.0,22.0,40.0,0.0,-29.3643
2021.0,12.0,19.0,23.0,10.0,0.0,-28.1876
2021.0,12.0,19.0,23.0,20.0,0.0,-28.2384
2021.0,12.0,19.0,23.0,30.0,0.0,-28.4049
2021.0,12.0,19.0,23.0,40.0,0.0,-27.4376
2021.0,12.0,19.0,23.0,50.0,0.0,-25.7999
2021.0,12.0,20.0,0.0,0.0,0.0,-24.3911
2021.0,12.0,20.0,0.0,10.0,0.0,-24.8668
2021.0,12.0,20.0,0.0,20.0,0.0,-23.8191
2021.0,12.0,20.0,0.0,50.0,0.0,-24.2009
2021.0,12.0,20.0,1.0,0.0,0.0,-23.4191
2021.0,12.0,20.0,1.0,10.0,0.0,-23.926
2021.0,12.0,20.0,1.0,20.0,0.0,-23.1175
2021.0,12.0,20.0,1.0,30.0,0.0,-21.8695
2021.0,12.0,20.0,1.0,40.0,0.0,-22.4512
2021.0,12.0,20.0,1.0,50.0,0.0,-22.984
2021.0,12.0,20.0,2.0,0.0,0.0,-22.16
2021.0,12.0,20.0,2.0,30.0,0.0,-20.7084
2021.0,12.0,20.0,2.0,40.0,0.0,-20.7235
2021.0,12.0,20.0,2.0,50.0,0.0,-21.0759
2021.0,12.0,20.0,3.0,0.0,0.0,-20.9022
2021.0,12.0,20.0,3.0,10.0,0.0,-20.0014
