Year,Month,Day,Time,Min,Sec,Radiation(Ldown-Lup)(Wm^2)
2022,1,26,3,20,0,-4.7774
2022,1,26,3,30,0,-5.3659
2022,1,26,23,0,0,-1.6118
2022,1,26,23,10,0,-1.2909
2022,1,26,23,20,0,-1.41
2022,1,26,23,30,0,-1.3582
2022,1,26,23,40,0,-1.3395
2022,1,26,23,50,0,-1.4802
2022,1,27,0,0,0,-1.5375
2022,1,27,0,10,0,-1.5505
2022,1,27,0,20,0,-1.5372
2022,1,27,0,30,0,-1.4935
2022,1,27,0,40,0,-1.5705
2022,1,27,0,50,0,-1.4668
2022,1,27,1,0,0,-1.3627
2022,1,27,1,10,0,-0.9992
2022,1,27,1,20,0,-1.1725
2022,1,27,1,30,0,-1.0822
2022,1,27,1,40,0,-0.9338
2022,1,27,1,50,0,-0.9466
2022,1,27,2,0,0,-0.9955
2022,1,27,2,10,0,-0.9049
2022,1,27,2,20,0,-0.8518
2022,1,27,2,30,0,-0.9428
2022,1,27,2,40,0,-0.9237
2022,1,27,2,50,0,-0.9942
2022,1,27,3,0,0,-0.9953
2022,1,27,3,10,0,-1.0939
2022,1,27,3,20,0,-1.0968
2022,1,27,3,30,0,-1.124
2022,1,27,19,30,0,-2.5518
2022,1,27,19,40,0,-2.3426
2022,1,27,19,50,0,-2.5534
2022,1,27,20,0,0,-2.4313
2022,1,27,20,10,0,-2.3427
2022,1,27,20,20,0,-7.4009
2022,1,27,20,30,0,-2.1661
2022,1,27,20,40,0,-2.0961
2022,1,27,20,50,0,-2.1163
2022,1,27,21,0,0,-2.2411
2022,1,27,21,10,0,-2.3477
2022,1,27,21,20,0,-1.9419
2022,1,27,21,30,0,-2.3924
2022,1,27,21,40,0,-2.7329
2022,1,27,21,50,0,-2.2214
2022,1,27,22,0,0,-2.3548
2022,1,27,22,10,0,-4.4614
2022,1,27,22,20,0,-4.0237
2022,1,27,22,30,0,-2.9779
2022,1,27,22,40,0,-2.037
2022,1,27,22,50,0,-2.1839
2022,1,27,23,0,0,-2.1705
2022,1,27,23,10,0,-2.1849
2022,1,27,23,20,0,-1.9691
2022,1,27,23,30,0,-2.0105
2022,1,27,23,40,0,-1.857
2022,1,27,23,50,0,-1.9402
2022,1,28,0,0,0,-1.7628
2022,1,28,0,10,0,-1.6301
2022,1,28,0,20,0,-1.6426
2022,1,28,0,30,0,-1.8367
2022,1,28,0,40,0,-1.7337
2022,1,28,0,50,0,-1.8022
2022,1,28,1,0,0,-1.8328
2022,1,28,1,10,0,-1.7621
2022,1,28,1,20,0,-1.6759
2022,1,28,1,30,0,-1.6859
2022,1,28,1,40,0,-1.7005
2022,1,28,1,50,0,-1.5789
2022,1,28,2,0,0,-1.4369
2022,1,28,2,10,0,-1.266
2022,1,28,2,20,0,-1.1691
2022,1,28,2,30,0,-1.1622
2022,1,28,2,40,0,-1.0242
2022,1,28,2,50,0,-0.9981
2022,1,28,3,0,0,-1.0775
2022,1,28,3,10,0,-1.0745
